    ,corruption,fold,wasserstein_distance
    444,pixelate_5,4,433.0263530982588
    445,saturate_1,4,433.03233286954855
    446,saturate_2,4,433.0331906842874
    447,saturate_3,4,432.94206958771275
    448,saturate_4,4,432.8749586351395
    449,saturate_5,4,432.81849787117585
    450,shot_noise_1,4,432.9915503548804
    451,shot_noise_2,4,432.9897087942699
    452,shot_noise_3,4,432.98401459044413
    453,shot_noise_4,4,432.9813230967021
    454,shot_noise_5,4,432.9760801414684
    455,snow_1,4,432.9922078127585
    456,snow_2,4,432.98336696389686
    457,snow_3,4,432.9698979838329
    458,snow_4,4,432.9555724968349
    459,snow_5,4,432.94352917881986
    460,spatter_1,4,432.98926414944344
    461,spatter_2,4,432.9795382662977
    462,spatter_3,4,432.9656803362715
    463,spatter_4,4,432.9749476206003
    464,spatter_5,4,432.96446423079726
    465,speckle_noise_1,4,432.99186269287003
    466,speckle_noise_2,4,432.9887842943766
    467,speckle_noise_3,4,432.98685749468484
    468,speckle_noise_4,4,432.9825039114352
    469,speckle_noise_5,4,432.9773143481585
    470,zoom_blur_1,4,433.030146101889
    471,zoom_blur_2,4,433.0360793761856
    472,zoom_blur_3,4,433.04358203643187
    473,zoom_blur_4,4,433.0498307542645
    474,zoom_blur_5,4,433.0591908276881
