,Fold,Corruption,Severity,LogLikelihood
378,5,brightness,1,-3407.834716796875
379,5,brightness,2,-3412.381591796875
380,5,brightness,3,-3418.083251953125
381,5,brightness,4,-3424.36669921875
382,5,brightness,5,-3437.148681640625
383,5,contrast,1,-3613.14208984375
384,5,contrast,2,-3944.676025390625
385,5,contrast,3,-4111.97509765625
386,5,contrast,4,-4285.04296875
387,5,contrast,5,-4504.69580078125
388,5,defocus_blur,1,-3411.8427734375
389,5,defocus_blur,2,-3422.356689453125
390,5,defocus_blur,3,-3431.66552734375
391,5,defocus_blur,4,-3437.87353515625
392,5,defocus_blur,5,-3455.0400390625
393,5,elastic,1,-3428.448486328125
394,5,elastic,2,-3431.30810546875
395,5,elastic,3,-3435.009521484375
396,5,elastic,4,-3436.654296875
397,5,elastic,5,-3438.4091796875
398,5,fog,1,-3421.40771484375
399,5,fog,2,-3476.609619140625
400,5,fog,3,-3508.1279296875
401,5,fog,4,-3537.778076171875
402,5,fog,5,-3527.0380859375
403,5,frost,1,-3444.889892578125
404,5,frost,2,-3494.80517578125
405,5,frost,3,-3553.822021484375
406,5,frost,4,-3557.048095703125
407,5,frost,5,-3606.195556640625
408,5,frosted_glass_blur,1,-3432.849609375
409,5,frosted_glass_blur,2,-3433.4462890625
410,5,frosted_glass_blur,3,-3437.6875
411,5,frosted_glass_blur,4,-3447.22802734375
412,5,frosted_glass_blur,5,-3449.94873046875
413,5,gaussian_blur,1,-3411.76611328125
414,5,gaussian_blur,2,-3432.39208984375
415,5,gaussian_blur,3,-3441.640380859375
416,5,gaussian_blur,4,-3450.73486328125
417,5,gaussian_blur,5,-3469.6201171875
418,5,gaussian_noise,1,-3423.395263671875
419,5,gaussian_noise,2,-3444.6630859375
420,5,gaussian_noise,3,-3472.647216796875
421,5,gaussian_noise,4,-3487.5439453125
422,5,gaussian_noise,5,-3503.831298828125
423,5,impulse_noise,1,-3440.7744140625
424,5,impulse_noise,2,-3474.595947265625
425,5,impulse_noise,3,-3505.96484375
426,5,impulse_noise,4,-3562.67919921875
427,5,impulse_noise,5,-3614.15478515625
428,5,jpeg_compression,1,-3404.056884765625
429,5,jpeg_compression,2,-3403.5068359375
430,5,jpeg_compression,3,-3403.3466796875
431,5,jpeg_compression,4,-3404.02392578125
432,5,jpeg_compression,5,-3404.44873046875
433,5,motion_blur,1,-3424.6923828125
434,5,motion_blur,2,-3439.3125
435,5,motion_blur,3,-3454.04150390625
436,5,motion_blur,4,-3453.6298828125
437,5,motion_blur,5,-3470.052490234375
438,5,pixelate,1,-3410.709228515625
439,5,pixelate,2,-3413.92919921875
440,5,pixelate,3,-3416.30712890625
441,5,pixelate,4,-3423.160888671875
442,5,pixelate,5,-3429.459228515625
443,5,saturate,1,-3454.465576171875
444,5,saturate,2,-3464.8759765625
445,5,saturate,3,-3373.859130859375
446,5,saturate,4,-3321.814697265625
447,5,saturate,5,-3279.951904296875
448,5,shot_noise,1,-3416.8671875
449,5,shot_noise,2,-3427.857177734375
450,5,shot_noise,3,-3458.0625
451,5,shot_noise,4,-3473.64990234375
452,5,shot_noise,5,-3501.65966796875
453,5,snow,1,-3412.699951171875
454,5,snow,2,-3422.364013671875
455,5,snow,3,-3414.119140625
456,5,snow,4,-3421.51513671875
457,5,snow,5,-3458.461669921875
458,5,spatter,1,-3406.37451171875
459,5,spatter,2,-3403.656005859375
460,5,spatter,3,-3394.248046875
461,5,spatter,4,-3391.28271484375
462,5,spatter,5,-3385.47412109375
463,5,speckle_noise,1,-3418.42431640625
464,5,speckle_noise,2,-3437.9755859375
465,5,speckle_noise,3,-3450.5908203125
466,5,speckle_noise,4,-3481.083251953125
467,5,speckle_noise,5,-3514.939208984375
468,5,zoom_blur,1,-3425.631591796875
469,5,zoom_blur,2,-3423.576416015625
470,5,zoom_blur,3,-3426.09765625
471,5,zoom_blur,4,-3426.29833984375
472,5,zoom_blur,5,-3431.13720703125
473,6,brightness,1,-3740.17431640625
