,Fold,Corruption,Severity,LogLikelihood
711,8,impulse_noise,2,-75986.69
712,8,impulse_noise,3,-74187.6
713,8,impulse_noise,4,-70804.05
714,8,impulse_noise,5,-68147.85
715,8,jpeg_compression,1,-79671.09
716,8,jpeg_compression,2,-79659.75
717,8,jpeg_compression,3,-79684.27
718,8,jpeg_compression,4,-79773.08
719,8,jpeg_compression,5,-79959.36
720,8,motion_blur,1,-81044.51
721,8,motion_blur,2,-81606.07
722,8,motion_blur,3,-81673.32
723,8,motion_blur,4,-81573.67
724,8,motion_blur,5,-81501.54
725,8,pixelate,1,-79605.3
726,8,pixelate,2,-80140.77
727,8,pixelate,3,-79959.13
728,8,pixelate,4,-80623.28
729,8,pixelate,5,-81678.25
730,8,saturate,1,-72059.555
731,8,saturate,2,-68506.375
732,8,saturate,3,-81276.48
733,8,saturate,4,-80939.65
734,8,saturate,5,-78962.664
735,8,shot_noise,1,-78880.0
736,8,shot_noise,2,-78129.44
737,8,shot_noise,3,-76257.77
738,8,shot_noise,4,-75517.66
739,8,shot_noise,5,-73642.37
740,8,snow,1,-77668.13
741,8,snow,2,-74878.695
742,8,snow,3,-75833.26
743,8,snow,4,-70373.016
744,8,snow,5,-71047.22
745,8,spatter,1,-80370.19
746,8,spatter,2,-79737.55
747,8,spatter,3,-77861.234
748,8,spatter,4,-72534.28
749,8,spatter,5,-69752.6
750,8,speckle_noise,1,-78660.45
751,8,speckle_noise,2,-77479.77
752,8,speckle_noise,3,-76460.555
753,8,speckle_noise,4,-74546.2
754,8,speckle_noise,5,-72334.04
755,8,zoom_blur,1,-83620.14
756,8,zoom_blur,2,-83781.03
757,8,zoom_blur,3,-84279.51
758,8,zoom_blur,4,-84371.67
759,8,zoom_blur,5,-84503.1
760,9,brightness,1,-59500.77
761,9,brightness,2,-58907.188
762,9,brightness,3,-58224.45
763,9,brightness,4,-57497.69
764,9,brightness,5,-55838.047
765,9,contrast,1,-54860.14
766,9,contrast,2,-45872.758
767,9,contrast,3,-40515.418
768,9,contrast,4,-33856.703
769,9,contrast,5,-21686.754
770,9,defocus_blur,1,-60299.69
771,9,defocus_blur,2,-60900.492
772,9,defocus_blur,3,-61360.92
773,9,defocus_blur,4,-61664.027
774,9,defocus_blur,5,-62291.79
775,9,elastic,1,-59331.07
776,9,elastic,2,-59874.97
777,9,elastic,3,-60145.984
778,9,elastic,4,-60685.043
779,9,elastic,5,-60855.438
780,9,fog,1,-60266.91
781,9,fog,2,-61781.07
782,9,fog,3,-64354.88
783,9,fog,4,-63470.758
784,9,fog,5,-65610.98
785,9,frost,1,-56809.266
786,9,frost,2,-54500.773
